Course #,Category,Course Title,What This Course Is About,What You Can Do After Completing This Course,Core Concept or Project Built,5 Key Topics Covered,Duration,Level
54,Programming Foundations,Working With APIs: Consuming and Building Them,Learn everything about APIs from consuming public ones to building your own from scratch,You will be able to call any REST API handle authentication and build your own documented API that others can use,"REST principles, HTTP verbs, authentication Bearer and API key, Postman, building APIs in Express",Build a currency conversion API and a student result API and document both with Postman,7 hours,Intermediate
55,Programming Foundations,Web Scraping: Extracting Data From Any Website,Learn how to extract data from any website programmatically using Python,You will be able to scrape product prices job listings news articles and any public data from any website,"requests library, BeautifulSoup, CSS selectors, handling pagination, storing to CSV, respecting robots.txt",Build a scraper that extracts job listings from a Nigerian job site and saves them to a spreadsheet,5 hours,Intermediate
56,Programming Foundations,Bash Scripting: Automating Linux Like a Pro,Learn Bash scripting to automate any Linux or Mac task from file management to server maintenance,You will be able to write Bash scripts that automate backups system monitoring user management and deployments,"Variables and control flow in bash, functions, reading files, cron jobs, pipes and redirection",Write a Bash script that automates daily database backups and emails a report if it fails,5 hours,Intermediate
57,Programming Foundations,Python for Data Analysis: Pandas and NumPy Foundations,Learn the two Python libraries that every data analyst in the world uses daily,You will be able to load clean transform merge and summarise any dataset using Pandas and NumPy,"NumPy arrays, Pandas DataFrames, reading CSV and Excel, filtering and sorting, groupby, handling missing data",Analyse a real Nigerian dataset of school results to calculate statistics and identify trends,6 hours,Intermediate
58,Programming Foundations,Data Visualisation: Making Charts That Tell Stories,Learn how to turn raw data into clear and beautiful charts that anyone can understand,You will be able to create bar charts line graphs pie charts scatter plots and heatmaps in Python using Matplotlib and Seaborn,"Matplotlib basics, Seaborn statistical plots, chart customisation, subplots, saving charts, storytelling with data",Build a visual data report with 8 different chart types from a real-world Nigerian dataset,5 hours,Intermediate
59,Programming Foundations,PHP OOP: Building Scalable Web Applications,Learn Object-Oriented PHP the architecture that powers all serious PHP applications and frameworks,You will be able to design and build a PHP application using classes inheritance interfaces and namespaces,"Classes and objects in PHP, constructors, inheritance, interfaces, traits, namespaces, autoloading",Refactor a procedural PHP web application into a clean OOP structure with proper class hierarchy,7 hours,Intermediate
60,Programming Foundations,Laravel Basics: The PHP Framework That Runs Nigeria,Learn Laravel the PHP framework behind thousands of Nigerian government and business websites,You will be able to build a fully functional web application in Laravel with authentication database and an admin dashboard,"Laravel installation, routes and controllers, Blade templating, Eloquent ORM, migrations, Auth scaffolding",Build a complete staff management system using Laravel with role-based access control,10 hours,Intermediate
61,Programming Foundations,Firebase: Building Apps Without a Backend,Learn Firebase Google's platform for building apps without writing traditional server code,You will be able to build a complete web or mobile app with authentication real-time database storage and hosting on Firebase,"Firebase Authentication, Firestore database, Realtime Database, Firebase Storage, Firebase Hosting",Build a real-time classroom chat application with login using only Firebase — no backend server,7 hours,Intermediate
62,Programming Foundations,MongoDB: The Database for Modern Applications,Learn MongoDB the document database that powers many modern Node.js applications,You will be able to design MongoDB schemas perform CRUD operations aggregate data and connect MongoDB to a Node.js app,"Documents and collections, CRUD operations, Mongoose ODM, schema design, aggregation pipeline, indexes",Build a Node.js REST API with MongoDB that manages a product inventory system,7 hours,Intermediate
63,Programming Foundations,Authentication and Authorization: Securing Every App,Learn how login systems actually work and how to build one that is completely secure,You will be able to implement JWT-based authentication role-based authorization and secure session management in any web app,"Hashing passwords with bcrypt, JWT tokens, refresh tokens, middleware for protected routes, RBAC",Build a complete login and role-based access system for a web app with admin and user roles,6 hours,Intermediate
64,Programming Foundations,Object-Oriented Design Patterns: Code That Professionals Write,Learn the 10 most important design patterns that solve recurring problems in software design,You will be able to identify when to use Singleton Factory Observer Strategy and other patterns in real projects,"Creational patterns, structural patterns, behavioural patterns, when to use each, refactoring to patterns",Implement 5 design patterns in a Python or JavaScript codebase and explain the problem each solves,6 hours,Advanced
65,Programming Foundations,Testing Your Code: Writing Tests That Catch Real Bugs,Learn software testing so your code works correctly the first time you hand it to a client,You will be able to write unit tests integration tests and end-to-end tests for any Python JavaScript or PHP application,"Unit testing, pytest for Python, Jest for JavaScript, test-driven development TDD, mocking, test coverage",Write a complete test suite for a REST API covering all endpoints and edge cases,6 hours,Intermediate
66,Programming Foundations,Docker: Running Any App Anywhere,Learn Docker so your applications run consistently on every computer server and cloud platform,You will be able to containerise any web application write a Dockerfile create a docker-compose setup and deploy it,"What containers are, Dockerfile, docker build and run, volumes, networking, docker-compose",Containerise a full-stack PHP MySQL application using Docker Compose,5 hours,Intermediate
67,Programming Foundations,Linux for Developers: The Operating System of the Internet,Learn Linux the operating system that runs 96% of the world's servers and every cloud platform,You will be able to navigate manage and administer any Linux server confidently from the command line,"File system, user and permissions management, package management apt, processes, networking, systemd","Set up a fresh Ubuntu server, configure it securely, install a LAMP stack and deploy a website",6 hours,Intermediate
68,Programming Foundations,Java Fundamentals: Programming the Enterprise,Learn Java the language behind Android apps banking systems and enterprise software,You will be able to write Java programs using classes interfaces collections and exceptions,"Java syntax, classes and objects, inheritance, interfaces, ArrayList and HashMap, exception handling, I/O",Build a bank account management system in Java using OOP with deposit withdrawal and history,8 hours,Intermediate
69,Programming Foundations,How Memory Works in Programming: Stack Heap and Pointers,Understand how your code uses computer memory the concept that explains all memory errors and performance issues,You will be able to explain the difference between stack and heap memory explain why null pointer errors happen and write code that manages memory efficiently,"Stack and heap memory, value vs reference types, garbage collection, memory leaks, pointers in C",Trace memory allocation and deallocation through a C program and explain every pointer operation,4 hours,Foundation
70,Programming Foundations,Building a REST API From Scratch Step by Step,Build a complete production-ready REST API from an empty folder to a deployed endpoint,You will have a live REST API that handles authentication CRUD operations and returns proper JSON responses,"REST API design, Express.js, MongoDB or MySQL, JWT auth, input validation, error handling, deployment",Build and deploy a complete REST API for a blogging platform with full documentation,10 hours,Intermediate
71,Programming Foundations,WebSockets: Building Real-Time Applications,Learn WebSockets to build applications where data updates instantly without page refreshing,You will be able to build real-time features like live chat notifications live scores and collaborative editing,"WebSocket protocol vs HTTP, Socket.io library, rooms and namespaces, events, broadcasting, scaling",Build a real-time group chat application that updates all users instantly as messages are sent,6 hours,Intermediate
72,Programming Foundations,Queues and Background Jobs: Handling Heavy Work,Learn how to handle slow tasks like sending emails generating reports without making users wait,You will be able to implement a job queue that processes background tasks asynchronously in any web application,"Job queues concept, Bull.js for Node.js, Celery for Python, Redis, task scheduling, retry logic",Add email sending and PDF report generation as background jobs to an existing web app,5 hours,Advanced
73,Programming Foundations,Building a Document Generation System,Learn how to programmatically generate professional Word PDFs and PowerPoint files from code,You will be able to build a system that auto-generates any document type from data with professional formatting,"python-docx, openpyxl, PptxGenJS, pdf generation, mail merge concept, templates",Build a system that generates student transcripts certificates and report cards from a database,6 hours,Intermediate
74,Programming Foundations,Payment Integration: Flutterwave and Paystack,Learn how to integrate Nigerian payment gateways into any web or mobile application,You will be able to implement a complete payment flow from button click to payment confirmation and webhook handling,"Payment gateway concepts, Flutterwave API, Paystack API, webhooks, transaction verification, test mode",Integrate Flutterwave into a web app with payment initiation verification and success callback,5 hours,Intermediate
75,Programming Foundations,SMS and Email Integration: Communicating From Apps,Learn how to send automated SMS and emails from any web application using popular APIs,You will be able to trigger SMS messages and branded emails from any application event registration payment alert,"Termii API for SMS, SMTP and PHPMailer, Nodemailer, HTML email templates, bulk sending",Add SMS OTP verification and welcome email to an existing web registration system,4 hours,Intermediate
76,Programming Foundations,Building a Search Engine for Your App,Learn how to implement powerful search functionality that finds results in milliseconds,You will be able to add full-text search filtering and sorting to any web application,"SQL LIKE and FULLTEXT indexes, Algolia, Elasticsearch basics, real-time search with debouncing",Add a fast search feature to a product catalogue that returns results as the user types,4 hours,Intermediate
77,Programming Foundations,Microservices: When One App Becomes Many,Understand microservices architecture and when to split a monolith into separate services,You will be able to design a microservices architecture for a real system and explain the tradeoffs vs a monolith,"Monolith vs microservices, service communication REST and gRPC, API gateway, Docker, advantages and drawbacks",Design the microservices architecture for a ride-hailing app and explain each service boundary,4 hours,Advanced
78,Programming Foundations,GraphQL: A Smarter Way to Build APIs,Learn GraphQL the API query language that lets clients ask for exactly what they need,You will be able to build a GraphQL API with queries mutations and subscriptions as an alternative to REST,"GraphQL schema, queries and mutations, resolvers, Apollo Server, comparison with REST, N+1 problem",Build a GraphQL API for a news platform and demonstrate how it reduces data over-fetching,7 hours,Advanced
79,Programming Foundations,Building a Full-Stack Web Application End to End,Build a complete production-ready web application from database to deployed frontend,You will have a fully deployed full-stack application with database backend API and frontend that real users can access,"Architecture planning, database design, backend API, frontend UI, deployment, domain setup",Build and deploy a complete student portal for a school with all CRUD operations from scratch,15 hours,Intermediate
80,Programming Foundations,Python Decorators and Advanced Functions,Learn Python's most powerful features that make code cleaner more reusable and more expressive,You will be able to use decorators generators context managers and closures in real production code,"Decorators and decorator factories, generators and yield, context managers, closures, lambda functions",Implement logging authentication and caching using decorators in a real Python web application,4 hours,Advanced
81,Programming Foundations,Building a Command Line Tool People Actually Use,Learn how to build professional CLI tools in Python that others can install and use,You will be able to build publish and distribute a Python command-line application with arguments help text and config files,"argparse, Click library, config files, packaging with setuptools, publishing to PyPI",Build a CLI tool that automates a common developer task and publish it to PyPI,5 hours,Intermediate
82,Programming Foundations,Caching: Making Applications 100x Faster,Learn how caching works and how to implement it to eliminate slow database queries,You will be able to implement caching using Redis for any web application and measure the performance improvement,"What caching is, cache invalidation, Redis basics, caching in Python and Node.js, cache strategies, TTL",Add Redis caching to a slow API endpoint and demonstrate a 10x speed improvement,4 hours,Advanced
83,Programming Foundations,Webhooks: Event-Driven Programming,Learn webhooks the mechanism that lets external services notify your application in real time,You will be able to build webhook endpoints that receive verify and process real-time events from payment gateways and other services,"What webhooks are vs polling, receiving webhooks in Express, signature verification, idempotency, ngrok for testing",Build webhook handlers for Flutterwave payment events and Termii SMS delivery reports,4 hours,Intermediate
84,Programming Foundations,Building Your First Chatbot Without AI,Learn how to build a rule-based chatbot that handles customer service questions automatically,You will be able to build a chatbot that answers FAQs handles menu selections and escalates to a human agent,"Intent detection with keywords, state machines, WhatsApp Business API, rule-based responses, handoff logic",Build a customer service chatbot for a school admissions process on WhatsApp,6 hours,Intermediate
85,Programming Foundations,Progressive Web Apps: Making Websites Work Offline,Learn how to turn any website into a PWA that works without internet and can be installed on phones,You will be able to add service workers a web manifest and offline functionality to any existing web application,"Service workers, cache API, manifest.json, offline fallback, push notifications, installability",Convert an existing web application into a PWA that works fully without an internet connection,5 hours,Intermediate
86,Programming Foundations,Web Accessibility: Building for Every Nigerian,Learn how to make websites usable by people with disabilities — a legal requirement in many contexts,You will be able to audit any website for accessibility issues and fix them to meet WCAG 2.1 AA standards,"Screen readers, semantic HTML for accessibility, ARIA attributes, keyboard navigation, colour contrast, focus management",Audit a real website using Lighthouse and NVDA screen reader and fix all identified issues,4 hours,Intermediate
